trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
208,False,"{'a': 0.5, 'e': 0.35253382661792404}",25,12,-3.9406460568614787,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.3507711574848344}",20,2,-4.400376408109862,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.34901730169741024}",30,13,-43.098207888305055,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
211,False,"{'a': 0.5, 'e': 0.3472722151889232}",25,15,17.493968728170806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.3455358541129786}",30,19,-24.57633305758299,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.5, 'e': 0.3438081748424137}",30,8,-44.416993445002504,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
214,False,"{'a': 0.5, 'e': 0.3420891339682016}",30,13,11.663146603865915,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.3403786882983606}",25,0,-32.64577377492303,"{0: 17, 1: 6, 2: 1, 3: 1, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.3386767948568688}",20,16,5.393910726282783,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.33698341088258443}",25,11,5.676431426597128,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.3352984938281715}",20,12,13.842398762689331,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.33362200135903064}",20,12,-29.25871766583153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
220,False,"{'a': 0.5, 'e': 0.33195389135223546}",25,13,26.194393468740927,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.3302941218954743}",25,7,5.284732993816817,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.32864265128599696}",20,7,-18.513500322286937,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
223,False,"{'a': 0.5, 'e': 0.326999438029567}",20,12,-33.992779370450755,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
224,False,"{'a': 0.5, 'e': 0.3253644408394192}",20,16,8.31165383005133,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.3237376186352221}",20,0,-33.46820266923874,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
226,False,"{'a': 0.5, 'e': 0.322118930542046}",20,16,9.02975217144754,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.32050833588933575}",20,12,-7.170387710623384,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.31890579420988907}",30,6,-55.17422775837777,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 2}",1
229,False,"{'a': 0.5, 'e': 0.3173112652388396}",25,2,-52.90516927217286,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.3157247089126454}",20,13,9.75642732264384,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.3141460853680822}",30,19,8.648673023980198,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.3125753549412418}",25,0,-8.316400391123357,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.31101247816653554}",25,0,0.5684589275207212,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.30945741577570285}",30,14,16.875408411161747,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
